Ratio: 0.0016881509510439556,    RMSE: 0.18963589439911954,      RMSE-eps: 0.27043466374650005
Ratio: 0.002227601872644142,     RMSE: 0.089921795827166,        RMSE-eps: 0.19053689881967487
Ratio: 0.002939435066478533,     RMSE: 0.08924486555872044,      RMSE-eps: 0.17943209336456073
Ratio: 0.0038787355209877476,    RMSE: 0.09122768048491686,      RMSE-eps: 0.1869965084927083
Ratio: 0.0051181907072353275,    RMSE: 0.09114566904118836,      RMSE-eps: 0.19222346706565732
Ratio: 0.006753715476057802,     RMSE: 0.08866157747763155,      RMSE-eps: 0.1861218882794173
Ratio: 0.008911874398713262,     RMSE: 0.08483549332007181,      RMSE-eps: 0.18066812989721717
Ratio: 0.011759675926531613,     RMSE: 0.0836489824263345,       RMSE-eps: 0.1935268305284376
Ratio: 0.015517496287539026,     RMSE: 0.08132049091524987,      RMSE-eps: 0.17985982182622554
Ratio: 0.020476133231743455,     RMSE: 0.07670199185302111,      RMSE-eps: 0.17427708875455317
Ratio: 0.027019309323811184,     RMSE: 0.0739070099986594,       RMSE-eps: 0.17119331713884697
Ratio: 0.03565336619338013,      RMSE: 0.07246608836985109,      RMSE-eps: 0.1716455729736611
Ratio: 0.047046447623256986,     RMSE: 0.07053762579809532,      RMSE-eps: 0.17449337748104043
Ratio: 0.06208020364648839,      RMSE: 0.06814895022418246,      RMSE-eps: 0.17931631144663604
Ratio: 0.08191801675764147,      RMSE: 0.06399373790880934,      RMSE-eps: 0.18031320723004127
Ratio: 0.10809502990225486,      RMSE: 0.05945022668879776,      RMSE-eps: 0.17524947973454844
Ratio: 0.14263694303218608,      RMSE: 0.05581455935894331,      RMSE-eps: 0.15127394319380216
Ratio: 0.18821677126103184,      RMSE: 0.051777517822967585,     RMSE-eps: 0.1429824986278534
Ratio: 0.24836169530031071,      RMSE: 0.04813526139653243,      RMSE-eps: 0.1391561277666749
Ratio: 0.3277260112325348,       RMSE: 0.04498272129611468,      RMSE-eps: 0.13216975154170726
